ID,2D-Dice,2D-Hausdorff,3D-Dice,3D-Hausdorff
BraTS20_Training_147,0.9846861413531673,1.0,0.9707886066915141,1.0
BraTS20_Training_148,0.9702879330983908,1.0,0.9355032781617683,2.23606797749979
BraTS20_Training_149,0.9833183451486944,1.0,0.9591430345199189,1.4142135623730951
BraTS20_Training_150,0.9466252256970766,2.449489742783178,0.9621670661196192,1.4142135623730951
BraTS20_Training_151,0.9400655284459187,2.8284271247461903,0.9392172648418429,2.0
BraTS20_Training_152,0.970631444240327,1.0,0.9733798961976636,1.0
BraTS20_Training_153,0.9381758432080765,2.23606797749979,0.9461673188000745,2.0
BraTS20_Training_154,0.9276387316602965,3.3166247903554,0.9692859094488822,1.0
BraTS20_Training_155,0.9550753028787373,1.0,0.9608898215026702,1.0
BraTS20_Training_156,0.9616417020148462,1.4142135623730951,0.9633257431125901,1.0
BraTS20_Training_157,0.9080339875619506,3.0,0.9200858974148812,2.23606797749979
BraTS20_Training_158,0.9067954982765543,2.23606797749979,0.8995987269959873,3.1622776601683795
BraTS20_Training_159,0.9097199147821668,55.5517776493246,0.9198197129640612,2.23606797749979
BraTS20_Training_160,0.9551872114543717,2.0,0.9567370626593231,3.605551275463989
BraTS20_Training_161,0.9500998003992016,5.0,0.9527794488690952,2.0
BraTS20_Training_162,0.976455683086618,1.0,0.9723494679317175,1.0
BraTS20_Training_163,0.9810674249572495,1.4142135623730951,0.97795369369486,1.0
BraTS20_Training_164,0.89758691599394,2.23606797749979,0.8731835315742504,4.0
BraTS20_Training_165,0.9595775918966609,1.4142135623730951,0.9604502184425772,1.4142135623730951
BraTS20_Training_166,0.9732312886888014,1.0,0.9689955966464856,1.4142135623730951
BraTS20_Training_167,0.9600625302415603,1.0,0.9504119868862267,2.0
BraTS20_Training_168,0.9533517546803499,2.0,0.9495877745440253,3.0
BraTS20_Training_169,0.9643827452630103,1.4142135623730951,0.9629642656162071,1.4142135623730951
BraTS20_Training_170,0.9772263422717077,1.0,0.9728245172209357,1.4142135623730951
BraTS20_Training_171,0.9444760860588629,3.7416573867739413,0.9417877122823761,5.0990195135927845
BraTS20_Training_172,0.9610886834223206,1.4142135623730951,0.964317024979391,1.0
BraTS20_Training_173,0.9435527558080143,2.0,0.9298044448966654,2.23606797749979
BraTS20_Training_174,0.9713960452904497,1.0,0.9697531591429465,1.0
BraTS20_Training_175,0.9658391245003677,1.4142135623730951,0.9611977229311947,2.23606797749979
BraTS20_Training_176,0.9744001587294089,1.0,0.9717488298120557,1.4142135623730951
BraTS20_Training_177,0.8434090832801853,44.82186966202994,0.8403006106153124,24.698178070456937
BraTS20_Training_178,0.9780746116096992,1.0,0.977483528775804,1.0
BraTS20_Training_179,0.9589767496066662,2.0,0.9622533558277708,1.7320508075688772
BraTS20_Training_180,0.9045782421378825,40.80441152620633,0.9029587774721654,39.81205847478876
BraTS20_Training_181,0.9516564776512795,1.0,0.9457796422468482,1.4142135623730951
BraTS20_Training_182,0.8349276177809607,51.478150704935004,0.878147555439433,49.92995093127971
BraTS20_Training_183,0.9794964330448568,1.0,0.9763990043329953,1.0
BraTS20_Training_184,0.9384080260312081,2.0,0.9395136292212375,3.0
BraTS20_Training_185,0.9615596258155805,1.4142135623730951,0.9478837419506965,2.449489742783178
BraTS20_Training_186,0.9555017146265096,1.4142135623730951,0.9542997689944155,2.0
BraTS20_Training_187,0.9732657170235903,1.0,0.9721243640718822,1.4142135623730951
BraTS20_Training_188,0.8617848902561676,2.23606797749979,0.8518310026072529,3.605551275463989
BraTS20_Training_189,0.9755130406344534,1.0,0.9674204832018222,1.7320508075688772
BraTS20_Training_190,0.9326941312822674,17.05872210923198,0.9229118902887912,19.4164878389476
BraTS20_Training_191,0.9625997711891825,1.7320508075688772,0.955694808704879,3.605551275463989
BraTS20_Training_192,0.9834358473864591,1.0,0.9772981053648665,1.0
BraTS20_Training_193,0.9292572714494728,52.81098370604357,0.9684820219647962,38.40572873934304
BraTS20_Training_194,0.9711539422279508,1.0,0.9658051630149124,2.0
BraTS20_Training_195,0.939762973500322,2.0,0.9401216218841678,2.0
BraTS20_Training_196,0.9728971404692257,1.0,0.968972471997791,1.4142135623730951
BraTS20_Training_197,0.9683288484736012,1.7320508075688772,0.9701801445041356,1.4142135623730951
BraTS20_Training_198,0.9767047583364556,1.0,0.9664768119495314,2.0
BraTS20_Training_199,0.9663889482304351,1.0,0.9642168289767954,1.4142135623730951
BraTS20_Training_200,0.9354244315088571,2.23606797749979,0.9374514129635466,2.0
BraTS20_Training_201,0.9784241477481761,1.0,0.9749631393898152,1.4142135623730951
BraTS20_Training_202,0.9837945111104256,1.0,0.9710917621070343,1.0
BraTS20_Training_203,0.946506316867104,1.7320508075688772,0.9352408871483466,40.85339643163099
BraTS20_Training_204,0.9177493825834855,1.7320508075688772,0.9031190057019733,2.23606797749979
BraTS20_Training_205,0.942084347370691,1.0,0.9428425815817516,1.0
BraTS20_Training_206,0.9255836473485886,1.4142135623730951,0.9111370633825246,3.0
BraTS20_Training_207,0.9419937595142177,2.449489742783178,0.9323511397863897,2.0
BraTS20_Training_208,0.9840211207466834,1.0,0.965669175693042,1.4142135623730951
BraTS20_Training_209,0.9762322985807775,1.0,0.9593608191443975,1.4142135623730951
BraTS20_Training_210,0.9444881262141955,2.23606797749979,0.9484294764740545,2.0
